"","gene","Cluster","membership","timepoint","z"
"1","10","cluster[genes]~6",0.779229421236439,"d5",-1.0189268959282
"2","100","cluster[genes]~6",0.845201931175536,"d5",-0.226925041420361
"3","1000","cluster[genes]~3",0.998155886862188,"d5",1.06491202887525
"4","100033407","cluster[genes]~2",0.681797778832807,"d5",0.458060601560518
"5","100033413","cluster[genes]~2",0.982756437384162,"d5",-0.338997333762465
"6","100033414","cluster[genes]~2",0.958638605258022,"d5",-0.229233274438237
"7","100033415","cluster[genes]~5",0.984721110285606,"d5",-0.166433234896033
"8","100033416","cluster[genes]~2",0.492895074005703,"d5",0.0503731882008484
"9","100033419","cluster[genes]~4",0.333400099715299,"d5",0.571237061830887
"10","100033423","cluster[genes]~2",0.601532328720052,"d5",-0.672281514542035
"11","100033426","cluster[genes]~1",0.990012684932505,"d5",1.33674183324427
"12","100033428","cluster[genes]~6",0.479649353758905,"d5",-0.819514427342208
"13","100033429","cluster[genes]~1",0.705442002422163,"d5",0.635678169004311
"14","100033430","cluster[genes]~3",0.307364794241941,"d5",0.621690665014338
"15","100033431","cluster[genes]~3",0.36549712960623,"d5",1.04705392016205
"16","100033432","cluster[genes]~3",0.350678086710786,"d5",0.855430139095857
"17","100033433","cluster[genes]~5",0.98641158615623,"d5",-0.596828171573052
"18","100033434","cluster[genes]~3",0.914134980307307,"d5",1.34200869253169
"19","100033436","cluster[genes]~2",0.893021007965118,"d5",-0.725605993075412
"20","10004","cluster[genes]~1",0.915750734773045,"d5",1.47591030470784
"21","100048912","cluster[genes]~5",0.958040062196733,"d5",-0.0481863335221478
"22","100049716","cluster[genes]~3",0.989663990986998,"d5",1.11499323665114
"23","10008","cluster[genes]~2",0.402144863601048,"d5",0.27528037116415
"24","1001","cluster[genes]~2",0.841377774821477,"d5",0.229743014761597
"25","100101267","cluster[genes]~2",0.454749049883726,"d5",0.556434053414967
"26","100101440","cluster[genes]~5",0.963925225609215,"d5",-0.152419799730124
"27","100101467","cluster[genes]~3",0.98324960280585,"d5",0.910695947606065
"28","100113379","cluster[genes]~6",0.757902078688217,"d5",-0.409705476931074
"29","100113381","cluster[genes]~6",0.989182760806247,"d5",-0.238773677647011
"30","100113382","cluster[genes]~3",0.408308696237662,"d5",0.291188340746031
"31","100113386","cluster[genes]~2",0.454570046303381,"d5",-1.24625390404563
"32","100113389","cluster[genes]~4",0.692283996247801,"d5",-1.27192144343913
"33","100113392","cluster[genes]~4",0.819196578488955,"d5",-0.354614819419616
"34","100113403","cluster[genes]~3",0.990394220047721,"d5",1.21527877192375
"35","100124516","cluster[genes]~6",0.896672122249491,"d5",-0.909406727214607
"36","100124534","cluster[genes]~5",0.996305181678028,"d5",-0.260131253109044
"37","100124535","cluster[genes]~2",0.632467101808878,"d5",-0.79222249384366
"38","100125288","cluster[genes]~6",0.777626632021475,"d5",-0.0631230723603435
"39","100125556","cluster[genes]~5",0.856324644311926,"d5",-1.13452313357298
"40","100126270","cluster[genes]~3",0.5755451250529,"d5",1.33408094385159
"41","100126313","cluster[genes]~6",0.449009242182362,"d5",0.365852320348583
"42","100126314","cluster[genes]~6",0.919884501535386,"d5",-0.996093349611661
"43","100126317","cluster[genes]~5",0.991410388350268,"d5",-0.248495487968287
"44","100126321","cluster[genes]~6",0.770391245197592,"d5",0.0656890760932725
"45","100126325","cluster[genes]~1",0.527024174895935,"d5",1.25687105527242
"46","100126338","cluster[genes]~6",0.73726699536687,"d5",-0.993393609075737
"47","100126348","cluster[genes]~6",0.749325330295617,"d5",-1.11951353264295
"48","100126572","cluster[genes]~5",0.526324514339654,"d5",-0.514054144677955
"49","100126784","cluster[genes]~4",0.84262295408352,"d5",-1.14553974074438
"50","100126793","cluster[genes]~3",0.975054715205215,"d5",0.917212810116866
"51","100127206","cluster[genes]~3",0.756302890292419,"d5",0.723259719299266
"52","100127967","cluster[genes]~4",0.537556480114034,"d5",-0.528855382261473
"53","100127983","cluster[genes]~3",0.972736824024341,"d5",1.16982201232062
"54","100128025","cluster[genes]~4",0.98863190952946,"d5",-1.12248432122052
"55","100128054","cluster[genes]~4",0.771563220029343,"d5",-0.635749039648602
"56","100128055","cluster[genes]~2",0.8634559593864,"d5",-0.0821859163173767
"57","100128071","cluster[genes]~2",0.844130706227945,"d5",0.44743327192991
